Id,Project,Reporter,Assigned To,Priority,Severity,Reproducibility,Product Version,Category,Date Submitted,OS,OS Version,Platform,View Status,Updated,Summary,Status,Resolution,Fixed in Version
0001861,QA31,student_qa311_4,,low,minor,always,,General,2024-03-11,,,,public,2024-03-11,[Holnyk] Наложение елементов сайта,new,open,
0001860,QA31,student_qa311_4,,low,minor,have not tried,,General,2024-03-11,,,,public,2024-03-11,[Holnyk] Граматическая ошибки,new,open,
0001859,QA31,student_qa311_4,,normal,minor,always,,General,2024-03-11,,,,public,2024-03-11,"[Holnyk] Проблема отображения контента раздела ""Лента""",new,open,
0001858,QA31,student_qa311_4,,normal,minor,always,,General,2024-03-11,,,,public,2024-03-11,"[Holnyk] Некорректная работа ссылки на сервис ""Skype""",new,open,
0001857,QA31,student_qa311_4,,low,minor,always,,General,2024-03-11,,,,public,2024-03-11,[Holnyk] Наложение елементов сайта,new,open,
0001856,QA31,student_qa311_4,,high,minor,always,,General,2024-03-11,,,,public,2024-03-11,[Holnyk] Отсутствие локализации документации,new,open,
0001855,QA31,student_qa311_4,,high,minor,always,,General,2024-03-11,,,,public,2024-03-11,[Holnyk] Отсутствие локализации документации,new,open,
0001854,QA31,student_qa311_4,,normal,minor,always,,General,2024-03-11,,,,public,2024-03-11,[Holnyk] Отсутствие локализации документации,new,open,
0001853,QA31,student_qa311_4,,high,minor,always,,General,2024-03-11,,,,public,2024-03-11,[Holnyk] Отсутствие локализации,new,open,
0001852,QA31,student_qa311_4,,low,minor,always,,General,2024-03-11,,,,public,2024-03-11,Отсутствие локализации,new,open,
